,pos,nega,neu
0,6,5,6
1,30,24,17
2,13,10,6
3,19,12,9
4,12,7,1
5,15,11,8
6,16,8,6
7,21,13,9
8,14,10,7
9,13,7,4
10,17,8,5
11,12,12,5
12,17,10,17
13,34,18,9
14,17,10,9
15,24,14,12
16,11,9,9
17,10,7,4
18,10,4,3
19,33,21,15
20,10,9,5
21,19,9,1
22,23,11,6
23,10,9,5
24,50,30,21
25,36,24,19
26,22,10,9
27,12,6,4
28,16,10,8
29,7,3,3
30,7,4,3
31,19,8,4
32,13,4,1
33,20,11,9
34,10,7,5
35,22,9,7
36,33,21,15
37,40,28,29
38,7,5,3
39,12,7,3
40,17,6,3
41,4,3,2
42,19,15,12
43,26,19,15
44,13,9,9
45,23,17,24
46,18,18,7
47,16,18,10
48,16,15,7
49,40,26,20
50,13,9,3
51,8,3,4
52,8,5,5
53,26,18,11
54,7,2,3
55,11,6,4
56,20,15,14
57,13,7,4
58,18,9,4
59,7,5,5
60,10,7,5
61,7,4,5
62,11,9,8
63,12,9,5
64,18,6,5
65,26,26,10
66,34,24,13
67,10,6,3
68,36,30,17
69,25,18,17
70,15,7,5
71,10,8,4
72,14,4,2
73,31,17,8
74,14,9,7
75,16,11,7
76,13,5,5
77,11,6,3
78,12,5,5
79,19,15,9
80,14,8,5
81,4,3,1
82,24,14,11
83,28,15,14
84,10,10,7
85,17,8,7
86,18,11,4
87,11,9,5
88,6,2,1
89,39,28,21
90,5,5,3
91,7,2,1
92,17,13,7
93,13,7,7
94,17,12,7
95,12,6,5
96,10,7,3
97,9,7,4
98,14,11,6
99,13,6,3
100,18,5,3
101,39,27,14
102,15,9,6
103,16,7,7
104,15,13,6
105,32,24,14
106,4,3,2
107,7,4,3
108,12,6,4
109,14,8,4
110,12,7,3
111,19,14,8
112,10,6,4
113,12,12,5
114,19,12,9
115,12,3,1
116,5,1,1
117,9,5,5
118,18,13,9
119,25,14,13
120,14,6,6
121,7,7,1
122,14,9,7
123,30,20,14
124,41,16,17
125,12,11,7
126,14,13,9
127,16,6,7
128,7,10,1
129,3,0,0
130,20,8,5
131,16,10,9
132,28,11,10
133,31,17,15
134,45,30,26
135,17,9,10
136,14,6,5
137,12,10,8
138,17,14,10
139,14,7,3
140,14,12,11
141,17,10,9
142,18,10,5
143,7,3,1
144,4,3,2
145,13,7,5
146,24,20,10
147,12,4,12
148,19,17,8
149,12,9,6
150,14,14,5
151,6,5,4
152,17,12,10
153,6,7,4
154,17,9,5
155,18,11,7
156,9,7,6
157,37,20,16
158,19,8,5
159,9,7,5
160,27,23,12
161,5,2,2
162,15,7,5
163,15,6,6
164,9,4,1
165,24,18,12
166,19,14,13
167,7,4,4
168,40,23,15
169,29,23,11
170,16,14,10
171,8,3,3
172,14,6,4
173,20,11,8
174,12,12,6
175,44,30,31
176,12,7,4
177,14,10,7
178,19,9,4
179,48,30,29
180,9,5,3
181,21,13,10
182,26,15,17
183,7,6,4
184,25,14,12
185,9,4,4
186,27,9,8
187,24,12,9
188,11,3,2
189,22,16,12
190,40,18,12
191,19,11,11
192,18,9,9
193,25,14,12
194,17,14,12
195,12,7,7
196,10,7,6
197,39,26,18
198,11,10,6
199,13,10,8
200,12,7,4
201,16,13,11
202,12,7,7
203,7,7,3
204,7,5,5
205,27,12,4
206,7,1,1
207,20,14,12
208,17,12,9
209,25,13,11
210,20,10,11
211,21,9,6
212,19,14,11
213,16,7,4
214,17,9,6
215,7,5,5
216,8,3,4
217,29,14,8
218,14,8,7
219,8,5,6
220,14,13,7
221,14,6,2
222,22,13,9
223,15,9,8
224,16,9,8
225,7,3,2
226,13,8,7
227,7,3,2
228,5,2,2
229,14,7,4
230,18,4,2
231,21,10,9
232,29,20,10
233,24,12,10
234,28,8,6
235,23,16,13
236,23,13,13
237,13,5,2
238,8,5,7
239,18,11,6
240,31,30,12
241,22,15,10
242,26,11,11
243,16,8,7
244,34,21,35
245,9,6,4
246,19,12,7
247,14,10,5
248,11,3,0
249,19,12,5
250,11,4,4
251,19,9,9
252,20,17,9
253,30,23,21
254,9,6,2
255,18,15,11
256,8,7,3
257,30,16,10
258,21,16,11
259,17,11,8
260,22,13,8
261,21,12,11
262,21,10,8
263,10,10,5
264,4,3,0
265,16,9,3
266,12,9,6
267,17,14,13
268,26,18,10
269,15,11,5
270,19,10,7
271,15,12,4
272,11,7,6
273,9,4,3
274,24,13,8
275,10,7,3
276,12,7,9
277,17,8,6
278,17,10,13
279,7,5,3
280,7,6,1
281,33,23,11
282,12,6,4
283,25,16,19
284,10,5,4
285,11,3,4
286,17,9,8
287,13,8,5
288,11,3,2
289,20,8,7
290,12,10,5
291,5,1,1
292,13,9,8
293,3,2,1
294,28,16,10
295,14,8,5
296,5,2,3
297,11,4,3
298,24,10,9
299,17,13,12
300,8,3,1
301,19,14,7
302,9,6,6
303,38,23,14
304,11,6,4
305,7,5,2
306,11,3,6
307,11,8,7
308,10,8,7
309,15,7,5
310,5,2,1
311,10,5,4
312,17,9,6
313,13,6,5
314,12,5,4
315,28,9,9
316,22,14,3
317,6,5,0
318,20,14,10
319,8,4,5
320,19,15,15
321,11,7,6
322,3,5,0
323,12,10,7
324,11,7,5
325,28,17,13
326,11,4,2
327,5,3,2
328,15,9,8
329,20,12,7
330,11,5,4
331,8,4,0
332,16,8,9
333,15,9,6
334,17,10,9
335,13,8,5
336,13,10,6
337,20,13,9
338,36,16,12
339,39,25,15
340,21,11,8
341,25,15,12
342,34,24,18
343,10,5,4
344,18,12,11
345,31,21,17
346,9,9,3
347,9,7,3
348,18,11,8
349,16,7,5
350,5,3,1
351,27,14,5
352,23,16,13
353,16,12,10
354,14,5,6
355,10,5,5
356,34,19,14
357,12,9,9
358,14,3,6
359,7,7,3
360,26,14,11
361,45,27,24
362,9,9,2
363,17,13,10
364,7,7,6
365,18,13,10
366,21,12,9
367,5,2,2
368,19,11,7
369,26,20,10
370,27,19,8
371,28,15,9
372,24,15,11
373,21,9,7
374,39,25,22
375,4,6,4
376,11,8,5
377,15,9,8
378,28,13,11
379,11,7,4
380,18,9,5
381,24,17,15
382,14,7,6
383,14,7,6
384,16,11,10
385,24,15,11
386,10,8,3
387,13,6,5
388,18,10,7
389,18,13,6
390,32,23,19
391,17,5,4
392,4,1,1
393,13,8,4
394,13,8,7
395,4,5,1
396,6,1,2
397,19,9,5
398,24,17,10
399,19,13,5
400,8,6,2
401,11,6,5
402,28,14,12
403,25,15,9
404,15,10,3
405,16,10,5
